scheme_code,isin,scheme_name,nav,date,amc,category,aum_crore,expense_ratio,1y,3y,5y,volatility,sharpe,ranking_score,risk
152182,INF740KA1TH2,DSP Gold ETF Fund of Fund - Regular - Growth,20.814,23-Mar-2026,DSP Mutual Fund,Gold,1282.1,1.82,51.67,29.57,23.28,17.3,1.36,17.354,high
153004,INF666M01IY7,Groww Gold ETF FOF - DIRECT - IDCW,16.4438,23-Mar-2026,Groww Mutual Fund,Gold,3003.17,1.47,51.67,29.57,23.28,17.3,1.36,17.354,high
113049,INF179KC1981,HDFC Gold ETF - Growth Option,115.9685,23-Mar-2026,HDFC Mutual Fund,Gold,11671.89,1.41,51.67,29.57,23.28,17.3,1.36,17.354,high
152957,INF666M01OE7,Groww Gold ETF,13.2786,23-Mar-2026,Groww Mutual Fund,Gold,376.03,2.43,51.67,29.57,23.28,17.3,1.36,17.354,high
152193,INF754K01SE6,Edelweiss Gold ETF,135.7074,23-Mar-2026,Edelweiss Mutual Fund,Gold,3154.24,2.11,51.67,29.57,23.28,17.3,1.36,17.354,high
151737,INF740KA1SW3,DSP Gold ETF,131.8457,23-Mar-2026,DSP Mutual Fund,Gold,1700.45,1.76,51.67,29.57,23.28,17.3,1.36,17.354,high
153933,INF2KCX01012,Choice Gold ETF,134.8108,23-Mar-2026,Choice Mutual Fund,Gold,314.85,0.98,51.67,29.57,23.28,17.3,1.36,17.354,high
152231,INF251K01SU9,Baroda BNP Paribas Gold ETF,131.455,23-Mar-2026,Baroda BNP Paribas Mutual Fund,Gold,3370.02,1.36,51.67,29.57,23.28,17.3,1.36,17.354,high
153930,INF194KB1KJ7,Bandhan Gold ETF,135.7454,23-Mar-2026,Bandhan Mutual Fund,Gold,4919.63,0.65,51.67,29.57,23.28,17.3,1.36,17.354,high
113434,INF846K01W80,Axis Gold ETF,113.2427,23-Mar-2026,Axis Mutual Fund,Gold,1695.35,2.47,51.67,29.57,23.28,17.3,1.36,17.354,high
153826,INF1J2R01114,ANGEL ONE GOLD ETF,12.6859,23-Mar-2026,Angel One Mutual Fund,Gold,3055.79,1.9,51.67,29.57,23.28,17.3,1.36,17.354,high
115127,INF209KB18D3,Aditya Birla Sun Life Gold ETF,119.3293,23-Mar-2026,Aditya Birla Sun Life Mutual Fund,Gold,2494.16,1.86,51.67,29.57,23.28,17.3,1.36,17.354,high
153357,INF579M01BB5,360 ONE Gold ETF,132.5909,23-Mar-2026,360 ONE Mutual Fund,Gold,3778.28,2.33,51.67,29.57,23.28,17.3,1.36,17.354,high
133816,INF178L01AO3,Kotak World Gold Fund- Direct Plan- Growth Option,11.759,25-Feb-2020,Kotak Mahindra Mutual Fund,Gold,463.46,1.96,51.67,29.57,23.28,17.3,1.36,17.354,high
133817,INF178L01AM7,Kotak World Gold Fund- Direct Plan- Dividend Option,9.78,25-Feb-2020,Kotak Mahindra Mutual Fund,Gold,2657.13,1.38,51.67,29.57,23.28,17.3,1.36,17.354,high
133815,INF178L01152,Kotak World Gold Fund - Standard Plan - Growth Option,11.199,25-Feb-2020,Kotak Mahindra Mutual Fund,Gold,3680.33,1.9,51.67,29.57,23.28,17.3,1.36,17.354,high
133814,INF178L01145,Kotak World Gold Fund - Standard Plan - Dividend Option,9.28,25-Feb-2020,Kotak Mahindra Mutual Fund,Gold,2145.5,0.61,51.67,29.57,23.28,17.3,1.36,17.354,high
106596,INF740K01268,DSP World Gold Mining Overseas Equity Omni FoF - Regular Plan - IDCW,32.3104,23-Mar-2026,DSP Mutual Fund,Gold,1702.02,2.06,51.67,29.57,23.28,17.3,1.36,17.354,high
106597,INF740K01250,DSP World Gold Mining Overseas Equity Omni FoF - Regular Plan - Growth,53.337,23-Mar-2026,DSP Mutual Fund,Gold,2133.49,2.5,51.67,29.57,23.28,17.3,1.36,17.354,high
119278,INF740K01PA9,DSP World Gold Mining Overseas Equity Omni FoF - Direct Plan - IDCW,34.2947,23-Mar-2026,DSP Mutual Fund,Gold,4737.26,1.23,51.67,29.57,23.28,17.3,1.36,17.354,high
119277,INF740K01OZ9,DSP World Gold Mining Overseas Equity Omni FoF - Direct Plan - Growth,57.2936,23-Mar-2026,DSP Mutual Fund,Gold,2828.41,1.12,51.67,29.57,23.28,17.3,1.36,17.354,high
150581,INF754K01OX5,Edelweiss Gold and Silver ETF FOF - Direct Plan - Growth,30.384,23-Mar-2026,Edelweiss Mutual Fund,Gold,3265.63,1.09,51.67,29.57,23.28,17.3,1.36,17.354,high
150578,INF754K01OY3,Edelweiss Gold and Silver ETF FOF - Direct Plan - IDCW,30.384,23-Mar-2026,Edelweiss Mutual Fund,Gold,837.99,1.56,51.67,29.57,23.28,17.3,1.36,17.354,high
150579,INF754K01OT3,Edelweiss Gold and Silver ETF FOF - Regular Plan - Growth,29.956,23-Mar-2026,Edelweiss Mutual Fund,Gold,4669.98,2.18,51.67,29.57,23.28,17.3,1.36,17.354,high
150580,INF754K01OU1,Edelweiss Gold and Silver ETF FOF - Regular Plan - IDCW,29.956,23-Mar-2026,Edelweiss Mutual Fund,Gold,1976.99,0.64,51.67,29.57,23.28,17.3,1.36,17.354,high
154208,INF754K01WP4,Edelweiss Gold ETF Fund of Fund Direct Plan Growth Option,8.3396,23-Mar-2026,Edelweiss Mutual Fund,Gold,3674.65,0.66,51.67,29.57,23.28,17.3,1.36,17.354,high
154209,INF754K01WQ2,Edelweiss Gold ETF Fund of Fund Regular Plan Growth Option,8.3373,23-Mar-2026,Edelweiss Mutual Fund,Gold,199.67,1.61,51.67,29.57,23.28,17.3,1.36,17.354,high
113076,INF109KC1NT3,ICICI Prudential Gold ETF,116.2376,23-Mar-2026,ICICI Prudential Mutual Fund,Gold,41501.7,2.07,51.67,29.57,23.28,17.3,1.36,17.354,high
112368,INF205K01361,Invesco India Gold Exchange Traded Fund,11765.5089,23-Mar-2026,Invesco Mutual Fund,Gold,1730.18,2.33,51.67,29.57,23.28,17.3,1.36,17.354,high
106193,INF174KA1HJ8,KOTAK GOLD ETF,113.2554,23-Mar-2026,Kotak Mahindra Mutual Fund,Gold,2247.66,1.87,51.67,29.57,23.28,17.3,1.36,17.354,high
152184,INF740KA1TL4,DSP Gold ETF Fund of Fund - Direct - IDCW,20.9972,23-Mar-2026,DSP Mutual Fund,Gold,101.18,1.5,51.67,29.57,23.28,17.3,1.36,17.354,high
154078,INF846KA1408,Axis Gold and Silver Passive FOF - Direct Plan - Growth,9.5784,23-Mar-2026,Axis Mutual Fund,Gold,2074.89,1.58,51.67,29.57,23.28,17.3,1.36,17.354,high
154077,INF846KA1390,Axis Gold and Silver Passive FOF - Regular Plan - Growth,9.5687,23-Mar-2026,Axis Mutual Fund,Gold,3280.85,1.0,51.67,29.57,23.28,17.3,1.36,17.354,high
120473,INF846K01DS2,Axis Gold Fund - Direct Plan - Growth option,41.7319,23-Mar-2026,Axis Mutual Fund,Gold,3520.55,0.68,51.67,29.57,23.28,17.3,1.36,17.354,high
120472,INF846K01DQ6,Axis Gold Fund - Direct Plan - IDCW,41.7708,23-Mar-2026,Axis Mutual Fund,Gold,3226.89,1.22,51.67,29.57,23.28,17.3,1.36,17.354,high
115897,INF846K01AL3,Axis Gold Fund - Regular Plan - Growth Option,38.2958,23-Mar-2026,Axis Mutual Fund,Gold,1670.76,1.05,51.67,29.57,23.28,17.3,1.36,17.354,high
115898,INF846K01AM1,Axis Gold Fund - Regular Plan - IDCW,38.3437,23-Mar-2026,Axis Mutual Fund,Gold,558.25,1.52,51.67,29.57,23.28,17.3,1.36,17.354,high
154129,INF194KB1KL3,Bandhan Gold ETF FOF-Direct-Growth,8.7005,23-Mar-2026,Bandhan Mutual Fund,Gold,397.35,1.32,51.67,29.57,23.28,17.3,1.36,17.354,high
154130,INF194KB1KK5,Bandhan Gold ETF FOF-Regular-Growth,8.6935,23-Mar-2026,Bandhan Mutual Fund,Gold,2125.38,1.51,51.67,29.57,23.28,17.3,1.36,17.354,high
153795,INF251K01VF4,Baroda BNP Paribas Gold ETF Fund of Funds Direct Growth,13.3577,23-Mar-2026,Baroda BNP Paribas Mutual Fund,Gold,3368.48,2.43,51.67,29.57,23.28,17.3,1.36,17.354,high
153794,INF251K01VE7,Baroda BNP Paribas Gold ETF Fund of Funds Regular Growth,13.3392,23-Mar-2026,Baroda BNP Paribas Mutual Fund,Gold,4566.73,1.9,51.67,29.57,23.28,17.3,1.36,17.354,high
152183,INF740KA1TK6,DSP Gold ETF Fund of Fund - Direct - Growth,20.9972,23-Mar-2026,DSP Mutual Fund,Gold,2714.42,1.82,51.67,29.57,23.28,17.3,1.36,17.354,high
153009,INF769K01MS7,Mirae Asset Gold ETF Fund of Fund - Regular Plan - Growth,16.843,23-Mar-2026,Mirae Asset Mutual Fund,Gold,4823.19,2.45,51.67,29.57,23.28,17.3,1.36,17.354,high
151961,INF767K01SM1,LIC MF Gold Exchange Traded Fund,121.7771,23-Mar-2026,LIC Mutual Fund,Gold,1387.2,0.99,51.67,29.57,23.28,17.3,1.36,17.354,high
152181,INF740KA1TI0,DSP Gold ETF Fund of Fund - Regular - IDCW,20.814,23-Mar-2026,DSP Mutual Fund,Gold,1120.34,1.87,51.67,29.57,23.28,17.3,1.36,17.354,high
152476,INF0R8F01042,Zerodha Gold ETF,21.3684,23-Mar-2026,Zerodha Mutual Fund,Gold,4080.35,0.88,51.67,29.57,23.28,17.3,1.36,17.354,high
105463,INF789F1AUX7,UTI GOLD Exchange Traded Fund,114.6737,23-Mar-2026,UTI Mutual Fund,Gold,458.9,0.77,51.67,29.57,23.28,17.3,1.36,17.354,high
153337,INF582M01KS4,Union Gold ETF,132.9789,23-Mar-2026,Union Mutual Fund,Gold,822.52,2.41,51.67,29.57,23.28,17.3,1.36,17.354,high
154092,INF2F0001370,The Wealth Company Gold ETF,135.3492,23-Mar-2026,The Wealth Company Mutual Fund,Gold,453.92,0.99,51.67,29.57,23.28,17.3,1.36,17.354,high
152284,INF277KA1976,Tata Gold Exchange Traded Fund,13.1928,23-Mar-2026,Tata Mutual Fund,Gold,2999.86,0.9,51.67,29.57,23.28,17.3,1.36,17.354,high
111954,INF200KA16D8,SBI Gold ETF,115.7995,23-Mar-2026,SBI Mutual Fund,Gold,32371.26,2.27,51.67,29.57,23.28,17.3,1.36,17.354,high
107693,INF082J01408,Quantum Gold Fund,112.4221,23-Mar-2026,Quantum Mutual Fund,Gold,1080.76,1.78,51.67,29.57,23.28,17.3,1.36,17.354,high
140088,INF204KB17I5,Nippon India ETF Gold BeES,112.3565,23-Mar-2026,Nippon India Mutual Fund,Gold,2621.4,2.48,51.67,29.57,23.28,17.3,1.36,17.354,high
153780,INF247L01FY4,Motilal Oswal Gold ETF,134.4058,23-Mar-2026,Motilal Oswal Mutual Fund,Gold,3476.8,2.44,51.67,29.57,23.28,17.3,1.36,17.354,high
151416,INF769K01JP9,Mirae Asset Gold ETF,131.9538,23-Mar-2026,Mirae Asset Mutual Fund,Gold,907.12,1.72,51.67,29.57,23.28,17.3,1.36,17.354,high
152980,INF666M01IX9,Groww Gold ETF FOF - DIRECT - GROWTH,16.4438,23-Mar-2026,Groww Mutual Fund,Gold,1847.94,0.9,51.67,29.57,23.28,17.3,1.36,17.354,high
153006,INF666M01JA5,Groww Gold ETF FOF - REGULAR - GROWTH,16.3699,23-Mar-2026,Groww Mutual Fund,Gold,4194.3,1.71,51.67,29.57,23.28,17.3,1.36,17.354,high
153828,INF1J2R01106,ANGEL ONE GOLD ETF FOF - REGULAR GROWTH,12.2127,23-Mar-2026,Angel One Mutual Fund,Gold,3116.21,0.51,51.67,29.57,23.28,17.3,1.36,17.354,high
153005,INF666M01JB3,Groww Gold ETF FOF - REGULAR - IDCW,16.3703,23-Mar-2026,Groww Mutual Fund,Gold,313.94,0.82,51.67,29.57,23.28,17.3,1.36,17.354,high
115132,INF082J01150,Quantum Gold Savings Fund - Direct Plan Growth Option,51.0466,23-Mar-2026,Quantum Mutual Fund,Gold,2323.85,1.8,51.67,29.57,23.28,17.3,1.36,17.354,high
120531,INF205K01NJ9,Invesco India Gold ETF Fund of Fund - Direct Plan - Growth,38.6206,23-Mar-2026,Invesco Mutual Fund,Gold,4863.06,1.64,51.67,29.57,23.28,17.3,1.36,17.354,high
120530,INF205K01NH3,Invesco India Gold ETF Fund of Fund - Direct Plan - IDCW (Payout / Reinvestment),38.5614,23-Mar-2026,Invesco Mutual Fund,Gold,4310.69,1.01,51.67,29.57,23.28,17.3,1.36,17.354,high
116077,INF205K01FA4,Invesco India Gold ETF Fund of Fund - Regular Plan - Growth,37.1181,23-Mar-2026,Invesco Mutual Fund,Gold,639.09,1.38,51.67,29.57,23.28,17.3,1.36,17.354,high
116075,INF205K01FB2,Invesco India Gold ETF Fund of Fund - Regular Plan - IDCW (Payout / Reinvestment),37.1222,23-Mar-2026,Invesco Mutual Fund,Gold,4742.4,1.06,51.67,29.57,23.28,17.3,1.36,17.354,high
114758,INF174K01AT3,Kotak Gold Fund Growth,50.9806,23-Mar-2026,Kotak Mahindra Mutual Fund,Gold,2765.0,2.0,51.67,29.57,23.28,17.3,1.36,17.354,high
119781,INF174K01MP6,Kotak Gold Fund Growth - Direct,53.8311,23-Mar-2026,Kotak Mahindra Mutual Fund,Gold,1758.91,0.85,51.67,29.57,23.28,17.3,1.36,17.354,high
114616,INF204K01KN0,Nippon India Gold Savings Fund-Growth plan- Growth Option,50.9754,23-Mar-2026,Nippon India Mutual Fund,Gold,4725.8,1.85,51.67,29.57,23.28,17.3,1.36,17.354,high
114617,INF204K01KO8,NIPPON INDIA GOLD SAVINGS FUND - IDCW Option,50.9754,23-Mar-2026,Nippon India Mutual Fund,Gold,2714.72,2.38,51.67,29.57,23.28,17.3,1.36,17.354,high
118663,INF204K01YC4,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,53.3757,23-Mar-2026,Nippon India Mutual Fund,Gold,3305.76,2.18,51.67,29.57,23.28,17.3,1.36,17.354,high
118662,INF204K01YD2,NIPPON INDIA GOLD SAVINGS FUND - Direct Plan - IDCW Option,53.3757,23-Mar-2026,Nippon India Mutual Fund,Gold,1415.65,0.62,51.67,29.57,23.28,17.3,1.36,17.354,high
114757,INF174K01AU1,Kotak Gold Fund Payout of Income Distribution cum capital withdrawal option,50.9796,23-Mar-2026,Kotak Mahindra Mutual Fund,Gold,2419.83,1.35,51.67,29.57,23.28,17.3,1.36,17.354,high
119780,INF174K01MQ4,Kotak Gold Fund Payout of Income Distribution cum capital withdrawal option- Direct,53.8306,23-Mar-2026,Kotak Mahindra Mutual Fund,Gold,3104.53,0.73,51.67,29.57,23.28,17.3,1.36,17.354,high
150641,INF247L01BN6,Motilal Oswal Gold and Silver Passive Fund of Funds(Regular Plan),26.9081,23-Mar-2026,Motilal Oswal Mutual Fund,Gold,1026.78,0.67,51.67,29.57,23.28,17.3,1.36,17.354,high
150642,INF247L01BM8,Motilal Oswal Gold and Silver Passive Fund of Funds(Direct Plan),27.2431,23-Mar-2026,Motilal Oswal Mutual Fund,Gold,3716.94,2.02,51.67,29.57,23.28,17.3,1.36,17.354,high
153921,INF174KA1XT4,Kotak Gold Silver Passive FOF - Direct Plan - Growth,13.382,23-Mar-2026,Kotak Mahindra Mutual Fund,Gold,4357.13,0.78,51.67,29.57,23.28,17.3,1.36,17.354,high
153922,INF174KA1XU2,Kotak Gold Silver Passive FOF - Regular Plan - Growth,13.367,23-Mar-2026,Kotak Mahindra Mutual Fund,Gold,3343.32,1.73,51.67,29.57,23.28,17.3,1.36,17.354,high
151974,INF397L01BU4,LIC MF Gold ETF Fund of Fund-Direct Plan-Growth,36.6847,23-Mar-2026,LIC Mutual Fund,Gold,4580.27,1.65,51.67,29.57,23.28,17.3,1.36,17.354,high
151973,INF397L01992,LIC MF Gold ETF Fund of Fund-Regular Plan-Growth,34.7173,23-Mar-2026,LIC Mutual Fund,Gold,1399.9,0.68,51.67,29.57,23.28,17.3,1.36,17.354,high
153007,INF769K01MV1,Mirae Asset Gold ETF Fund of Fund - Direct Plan - Growth,16.962,23-Mar-2026,Mirae Asset Mutual Fund,Gold,1839.48,2.2,51.67,29.57,23.28,17.3,1.36,17.354,high
153008,INF769K01MW9,Mirae Asset Gold ETF Fund of Fund - Direct Plan - IDCW,16.961,23-Mar-2026,Mirae Asset Mutual Fund,Gold,1671.49,2.46,51.67,29.57,23.28,17.3,1.36,17.354,high
153815,INF769K01PL5,Mirae Asset Gold Silver Passive FoF - Regular Plan - IDCW,15.053,23-Mar-2026,Mirae Asset Mutual Fund,Gold,1577.14,0.65,51.67,29.57,23.28,17.3,1.36,17.354,high
153814,INF769K01PP6,Mirae Asset Gold Silver Passive FoF - Regular Plan - Growth,15.056,23-Mar-2026,Mirae Asset Mutual Fund,Gold,4387.54,1.96,51.67,29.57,23.28,17.3,1.36,17.354,high
153813,INF769K01PO9,Mirae Asset Gold Silver Passive FoF - Direct Plan - IDCW,15.107,23-Mar-2026,Mirae Asset Mutual Fund,Gold,2207.86,2.23,51.67,29.57,23.28,17.3,1.36,17.354,high
153812,INF769K01PM3,Mirae Asset Gold Silver Passive FoF - Direct Plan - Growth,15.109,23-Mar-2026,Mirae Asset Mutual Fund,Gold,214.82,2.41,51.67,29.57,23.28,17.3,1.36,17.354,high
141064,INF082J01358,Quantum Gold Savings Fund - Regular Plan Growth Option,50.3211,23-Mar-2026,Quantum Mutual Fund,Gold,2748.99,1.09,51.67,29.57,23.28,17.3,1.36,17.354,high
115834,INF109K01TM4,ICICI Prudential Gold ETF FOF - IDCW,40.843,23-Mar-2026,ICICI Prudential Mutual Fund,Gold,22348.83,0.56,51.67,29.57,23.28,17.3,1.36,17.354,high
119789,INF200K01RN3,SBI Gold Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),40.6916,23-Mar-2026,SBI Mutual Fund,Gold,54328.82,1.19,51.67,29.57,23.28,17.3,1.36,17.354,high
154132,INF2F0001420,THE WEALTH COMPANY GOLD ETF FOF DIRECT IDCW,8.6249,23-Mar-2026,The Wealth Company Mutual Fund,Gold,1345.32,0.71,51.67,29.57,23.28,17.3,1.36,17.354,high
119132,INF179K01VX0,HDFC Gold ETF Fund of Fund - Direct Plan,41.6018,23-Mar-2026,HDFC Mutual Fund,Gold,56833.75,2.32,51.67,29.57,23.28,17.3,1.36,17.354,high
